Formula,LC_A
CsIO3,4.67
RbUO3,4.323
KUO3,4.290
RbPaO3,4.368
KPaO3,4.341
KTaO3,3.988
BaFeO3,3.994
BaMoO3,4.040
BaNbO3,4.080
BaSnO3,4.116
BaHfO3,4.171
BaZrO3,4.193
BaIrO3,4.100
EuTiO3,3.905
NaWO3,3.850
SnTaO3,3.880
SrMnO3,3.806
SrVO3,3.890
SrFeO3,3.850
SrTiO3,3.905
SrTcO3,3.949
SrMoO3,3.975
SrNbO3,4.016
SrSnO3,4.034
SrHfO3,4.069
CaVO3,3.767
BaPbO3,4.265
BaTbO3,4.285
BaPrO3,4.354
BaCeO3,4.397
BaAmO3,4.357
BaNpO3,4.384
BaUO3,4.387
BaPaO3,4.450
BaThO3,4.480
SrTbO3,4.180
SrAmO3,4.230
SrPuO3,4.280
SrCoO3,3.850
BaTiO3,4.012
CaTiO3,3.840
CeAlO3,3.772
EuAlO3,3.725
EuCrO3,3.803
EuFeO3,3.836
GdAlO3,3.710
GdCrO3,3.795
GdFeO3,3.820
KNbO3,4.007
LaAlO3,3.778
LaCrO3,3.874
LaFeO3,3.920
LaGaO3,3.874
LaRhO3,3.940
LaTiO3,3.920
LaVO3,3.910
NaAlO3,3.730
NaTaO3,3.881
NdAlO3,3.752
NdCoO3,3.777
NdCrO3,3.835
NdFeO3,3.870
NdMnO3,3.800
PrAlO3,3.757
PrCrO3,3.852
PrFeO3,3.887
PrGaO3,3.863
PrMnO3,3.820
PrVO3,3.890
SmAlO3,3.734
SmCoO3,3.750
SmVO3,3.890
SmFeO3,3.845
SrZrO3,4.101
YAlO3,3.680
YCrO3,3.768
YFeO3,3.785
CsCdF3,4.470
CsCaF3,4.523
CsHgF3,4.570
CsSrF3,4.750
TlCoF3,4.138
TlFeF3,4.188
TlMnF3,4.260
TlCdF3,4.400
NH4ZnF3,4.115
NH4CoF3,4.129
NH4FeF3,4.177
NH4MnF3,4.241
RbZnF3,4.122
RbCoF3,4.141
RbVF3,4.170
RbFeF3,4.174
RbMnF3,4.240
RbCdF3,4.398
RbCaF3,4.452
RbHgF3,4.470
KCdF3,4.293
KMgF3,3.989
KNiF3,4.013
KZnF3,4.056
KCoF3,4.071
KVF3,4.100
KFeF3,4.121
KMnF3,4.189
AgMgF3,3.918
AgNiF3,3.936
AgZnF3,3.972
AgCoF3,3.983
AgMnF3,4.030
NaVF3,3.940
RbPdF3,4.298
NH4MgF3,4.060
TlPdF3,4.301
LiBaF3,3.992
RbYbF3,4.530
CsEuF3,4.780
CsPbF3,4.800
CsYbF3,4.610
RbPbF3,4.790
CsCaCl3,5.396
CsCdCl3,5.210
CsPbCl3,5.605
CsHgCl3,5.410
TlMnCl3,5.020
CsEuCl3,5.627
CsTmCl3,5.476
CsYbCl3,5.437
CsHgBr3,5.770
CsPbBr3,5.874
CsSnBr3,5.795
CsSnI3,6.219